Number,Record-Nr.,Newspaper Name,,Issues,Pages,Items
序号,记录标识号,报名,,总期数,版面数,篇目数
1,00N001037,《大刚报》,Da gang bao,2.097,10.173,137.862
2,00N000846,《新华日报》,Xinhua ribao,3.231,12.447,133.068
3,00N000203,《益世报》,Yi shi bao,8.847,72.488,719.078
4,00N001043,《华北日报》,Huabei ribao,3.934,34.772,396.060
5,00N001044,《中央日报—福建》,Zhongyang ribao—Fujian,1.405,7.666,125.193
6,00N001720,《中央日报—昆明》,Zhongyang ribao—Kunming,3.724,17.580,217.725
7,00N001745,《中央日报—贵阳》,Zhongyang ribao—Guiyang,3.214,14.597,156.759
8,00N001428,《阵中日报》,Zhenzhong ribao,3.426,7.972,123.015
9,00N001445,《福建日报》,Fujian ribao,1.962,5.124,73.076
10,00N001724,《冀中日报》,Jizhong ribao,841,3.204,25.078
11,00N002542,《解放日报》,Jiefang ribao,2.130,7.992,92.647
12,00N001021,《西北文化日报》,Xibei wenhua ribao,5.865,24.939,286.164
13,00N001024,《甘肃民国日报》,Gansu minguo ribao,4.933,20.498,237.844
14,00N001453,《南宁民国日报》,Nanning minguo ribao,2.567,17.507,180.695
15,00N001755,《革命日报》,Geming ribao,3.578,14.530,167.925
16,00N000638,《山东民国日报》,Shandong minguo ribao,784,6.164,50.841
17,00N000470,《新天津》,Xin Tianjin,4.689,53.946,422.946
18,00N001721,《青岛日报》,Qingdao ribao,1.891,21.793,138.570
19,00N001694,《国风日报》,Guofeng ribao,2.010,6.234,65.128
20,00N000474,《工商日报》,Gongshang ribao,2.036,5.282,67.437
21,00N001674,《贵州商报》,Guizhou shangbao,969,3.878,47.451
,合计,,,64.133,368.786,3.864.562
,total,,,,,
